编号,人群,总分档,短板维度,画像名称,页面相对地址,图片相对地址,GitHub Pages页面地址示例,GitHub Pages图片直链示例
F01,健康主理人,优秀,会买,家庭采购总指挥,cards/family-01.html,assets/images/family-01.png,https://你的用户名.github.io/你的仓库名/cards/family-01.html,https://你的用户名.github.io/你的仓库名/assets/images/family-01.png
F02,健康主理人,优秀,会存,厨房秩序大师,cards/family-02.html,assets/images/family-02.png,https://你的用户名.github.io/你的仓库名/cards/family-02.html,https://你的用户名.github.io/你的仓库名/assets/images/family-02.png
F03,健康主理人,优秀,会做,料理之心,cards/family-03.html,assets/images/family-03.png,https://你的用户名.github.io/你的仓库名/cards/family-03.html,https://你的用户名.github.io/你的仓库名/assets/images/family-03.png
F04,健康主理人,优秀,会吃,餐桌策展人,cards/family-04.html,assets/images/family-04.png,https://你的用户名.github.io/你的仓库名/cards/family-04.html,https://你的用户名.github.io/你的仓库名/assets/images/family-04.png
F05,健康主理人,优秀,会判断,信息守门员,cards/family-05.html,assets/images/family-05.png,https://你的用户名.github.io/你的仓库名/cards/family-05.html,https://你的用户名.github.io/你的仓库名/assets/images/family-05.png
F06,健康主理人,良好,会买,进阶家庭采购员,cards/family-06.html,assets/images/family-06.png,https://你的用户名.github.io/你的仓库名/cards/family-06.html,https://你的用户名.github.io/你的仓库名/assets/images/family-06.png
F07,健康主理人,良好,会存,厨房管家,cards/family-07.html,assets/images/family-07.png,https://你的用户名.github.io/你的仓库名/cards/family-07.html,https://你的用户名.github.io/你的仓库名/assets/images/family-07.png
F08,健康主理人,良好,会做,稳健的掌勺人,cards/family-08.html,assets/images/family-08.png,https://你的用户名.github.io/你的仓库名/cards/family-08.html,https://你的用户名.github.io/你的仓库名/assets/images/family-08.png
F09,健康主理人,良好,会吃,膳食搭配能手,cards/family-09.html,assets/images/family-09.png,https://你的用户名.github.io/你的仓库名/cards/family-09.html,https://你的用户名.github.io/你的仓库名/assets/images/family-09.png
F10,健康主理人,良好,会判断,理性消费者,cards/family-10.html,assets/images/family-10.png,https://你的用户名.github.io/你的仓库名/cards/family-10.html,https://你的用户名.github.io/你的仓库名/assets/images/family-10.png
F11,健康主理人,觉醒,会买,觉醒中的采购者,cards/family-11.html,assets/images/family-11.png,https://你的用户名.github.io/你的仓库名/cards/family-11.html,https://你的用户名.github.io/你的仓库名/assets/images/family-11.png
F12,健康主理人,觉醒,会存,整理意识在路上,cards/family-12.html,assets/images/family-12.png,https://你的用户名.github.io/你的仓库名/cards/family-12.html,https://你的用户名.github.io/你的仓库名/assets/images/family-12.png
F13,健康主理人,觉醒,会做,成长中的掌勺人,cards/family-13.html,assets/images/family-13.png,https://你的用户名.github.io/你的仓库名/cards/family-13.html,https://你的用户名.github.io/你的仓库名/assets/images/family-13.png
F14,健康主理人,觉醒,会吃,膳食初学者,cards/family-14.html,assets/images/family-14.png,https://你的用户名.github.io/你的仓库名/cards/family-14.html,https://你的用户名.github.io/你的仓库名/assets/images/family-14.png
F15,健康主理人,觉醒,会判断,易被打动的家长,cards/family-15.html,assets/images/family-15.png,https://你的用户名.github.io/你的仓库名/cards/family-15.html,https://你的用户名.github.io/你的仓库名/assets/images/family-15.png
F16,健康主理人,入门,会买,新手家庭采购者,cards/family-16.html,assets/images/family-16.png,https://你的用户名.github.io/你的仓库名/cards/family-16.html,https://你的用户名.github.io/你的仓库名/assets/images/family-16.png
F17,健康主理人,入门,会存,厨房秩序新探索,cards/family-17.html,assets/images/family-17.png,https://你的用户名.github.io/你的仓库名/cards/family-17.html,https://你的用户名.github.io/你的仓库名/assets/images/family-17.png
F18,健康主理人,入门,会做,厨房新生,cards/family-18.html,assets/images/family-18.png,https://你的用户名.github.io/你的仓库名/cards/family-18.html,https://你的用户名.github.io/你的仓库名/assets/images/family-18.png
F19,健康主理人,入门,会吃,膳食新探索,cards/family-19.html,assets/images/family-19.png,https://你的用户名.github.io/你的仓库名/cards/family-19.html,https://你的用户名.github.io/你的仓库名/assets/images/family-19.png
F20,健康主理人,入门,会判断,判断力的萌芽,cards/family-20.html,assets/images/family-20.png,https://你的用户名.github.io/你的仓库名/cards/family-20.html,https://你的用户名.github.io/你的仓库名/assets/images/family-20.png
W01,体重管理人群,优秀,会买,理性购物者,cards/weight-01.html,assets/images/weight-01.png,https://你的用户名.github.io/你的仓库名/cards/weight-01.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-01.png
W02,体重管理人群,优秀,会存,餐盒管家,cards/weight-02.html,assets/images/weight-02.png,https://你的用户名.github.io/你的仓库名/cards/weight-02.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-02.png
W03,体重管理人群,优秀,会做,热量魔法师,cards/weight-03.html,assets/images/weight-03.png,https://你的用户名.github.io/你的仓库名/cards/weight-03.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-03.png
W04,体重管理人群,优秀,会吃,节奏管理者,cards/weight-04.html,assets/images/weight-04.png,https://你的用户名.github.io/你的仓库名/cards/weight-04.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-04.png
W05,体重管理人群,优秀,会判断,网红法的免疫者,cards/weight-05.html,assets/images/weight-05.png,https://你的用户名.github.io/你的仓库名/cards/weight-05.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-05.png
W06,体重管理人群,良好,会买,进阶减脂购物者,cards/weight-06.html,assets/images/weight-06.png,https://你的用户名.github.io/你的仓库名/cards/weight-06.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-06.png
W07,体重管理人群,良好,会存,靠谱餐盒人,cards/weight-07.html,assets/images/weight-07.png,https://你的用户名.github.io/你的仓库名/cards/weight-07.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-07.png
W08,体重管理人群,良好,会做,稳健减脂厨师,cards/weight-08.html,assets/images/weight-08.png,https://你的用户名.github.io/你的仓库名/cards/weight-08.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-08.png
W09,体重管理人群,良好,会吃,节奏稳定者,cards/weight-09.html,assets/images/weight-09.png,https://你的用户名.github.io/你的仓库名/cards/weight-09.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-09.png
W10,体重管理人群,良好,会判断,保持警觉的减脂者,cards/weight-10.html,assets/images/weight-10.png,https://你的用户名.github.io/你的仓库名/cards/weight-10.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-10.png
W11,体重管理人群,觉醒,会买,觉醒中的减脂购物,cards/weight-11.html,assets/images/weight-11.png,https://你的用户名.github.io/你的仓库名/cards/weight-11.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-11.png
W12,体重管理人群,觉醒,会存,在路上的食材管理,cards/weight-12.html,assets/images/weight-12.png,https://你的用户名.github.io/你的仓库名/cards/weight-12.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-12.png
W13,体重管理人群,觉醒,会做,厨房成长中,cards/weight-13.html,assets/images/weight-13.png,https://你的用户名.github.io/你的仓库名/cards/weight-13.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-13.png
W14,体重管理人群,觉醒,会吃,节奏寻找者,cards/weight-14.html,assets/images/weight-14.png,https://你的用户名.github.io/你的仓库名/cards/weight-14.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-14.png
W15,体重管理人群,觉醒,会判断,易被打动的减脂者,cards/weight-15.html,assets/images/weight-15.png,https://你的用户名.github.io/你的仓库名/cards/weight-15.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-15.png
W16,体重管理人群,入门,会买,减脂购物新手,cards/weight-16.html,assets/images/weight-16.png,https://你的用户名.github.io/你的仓库名/cards/weight-16.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-16.png
W17,体重管理人群,入门,会存,餐盒新探索,cards/weight-17.html,assets/images/weight-17.png,https://你的用户名.github.io/你的仓库名/cards/weight-17.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-17.png
W18,体重管理人群,入门,会做,厨房新手,cards/weight-18.html,assets/images/weight-18.png,https://你的用户名.github.io/你的仓库名/cards/weight-18.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-18.png
W19,体重管理人群,入门,会吃,膳食新探索,cards/weight-19.html,assets/images/weight-19.png,https://你的用户名.github.io/你的仓库名/cards/weight-19.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-19.png
W20,体重管理人群,入门,会判断,判断力的起步,cards/weight-20.html,assets/images/weight-20.png,https://你的用户名.github.io/你的仓库名/cards/weight-20.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-20.png
C01,慢病管理人群,优秀,会买,慢病采购老司机,cards/chronic-01.html,assets/images/chronic-01.png,https://你的用户名.github.io/你的仓库名/cards/chronic-01.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-01.png
